placeId,category_code,location,market_value,number_condos,number_of_bedrooms,number_stories,taxable_building,taxable_land,total_area,total_livable_area,zoning,lat,lng
923904735,1,2555 S REESE ST,172400.0,1,2,2,144644.0,27756.0,1696,1696,RSA5 ,39.916415062498665,-75.15677558658622
923904735,1,2515 S REESE ST,90300.0,1,2,2,74467.0,15833.0,1020,1020,RSA5 ,39.91718430491337,-75.15660840468422
923904735,1,2521 S REESE ST,92600.0,1,2,2,76201.0,16399.0,940,940,RSA5 ,39.9170690323555,-75.15663378848143
923904735,1,2513 S REESE ST,138900.0,1,2,2,116538.0,22362.0,990,990,RSA5 ,39.91722230843288,-75.15660013418737
923904735,1,2553 S REESE ST,134400.0,1,2,2,112761.0,21639.0,940,940,RSA5 ,39.9164564801635,-75.15676660683121
923904735,1,2517 S REESE ST,92600.0,1,2,2,76201.0,16399.0,940,940,RSA5 ,39.91714594251396,-75.15661670290413
923904735,1,2503 S REESE ST,138900.0,1,2,2,31936.0,22364.0,990,990,RSA5 ,39.917420598793115,-75.1565566932032
923904735,1,2523 S REESE ST,134400.0,1,2,2,112761.0,21639.0,940,940,RSA5 ,39.91703070477961,-75.1566418337662
923904735,1,2551 S REESE ST,134400.0,1,2,2,32661.0,21639.0,940,940,RSA5 ,39.916495169017075,-75.15675832090005
923904735,1,2519 S REESE ST,92600.0,1,2,2,76201.0,16399.0,940,940,RSA5 ,39.91710773791167,-75.15662532507248
923904735,1,2501 S REESE ST,147600.0,1,2,2,78837.0,23763.0,1024,1024,RSA5 ,39.917463731858966,-75.1565473891388
923904735,1,2525 S REESE ST,52500.0,1,2,2,35596.0,16904.0,940,940,RSA5 ,39.91699240208114,-75.15665026189572
923904735,1,2547 S REESE ST,134400.0,1,2,2,112761.0,21639.0,940,940,RSA5 ,39.91657126533158,-75.15674186224655
923904735,1,2537 S REESE ST,141000.0,1,2,2,118299.0,22701.0,940,940,RSA5 ,39.91676344418728,-75.15670049583896
923904735,1,2541 S REESE ST,134400.0,1,2,2,112761.0,21639.0,940,940,RSA5 ,39.91668661902996,-75.15671687824725
923904735,1,2535 S REESE ST,134400.0,1,2,2,112761.0,21639.0,940,940,RSA5 ,39.916801839199465,-75.1566917670323
923904735,1,2529 S REESE ST,92600.0,1,2,2,76201.0,16399.0,940,940,RSA5 ,39.91691620279844,-75.15666706753014
923904735,1,2533 S REESE ST,134400.0,1,2,2,32661.0,21639.0,940,940,RSA5 ,39.91683983801128,-75.15668352723172
923904735,1,2543 S REESE ST,155500.0,1,2,2,130465.0,25035.0,1200,1200,RSA5 ,39.91664756499493,-75.15672531155008
923904735,1,2539 S REESE ST,92600.0,1,2,2,31201.0,16399.0,940,940,RSA5 ,39.91672520019453,-75.15670861157929
923904735,1,2531 S REESE ST,173600.0,1,2,2,100650.0,27950.0,940,940,RSA5 ,39.916877936698725,-75.15667520170283
923904735,1,2545 S REESE ST,141000.0,1,2,2,73299.0,22701.0,940,940,RSA5 ,39.916609208434274,-75.15673374866027
923904734,1,2508 S 5TH ST,153100.0,1,2,2,35050.0,24650.0,1200,1200,RSA5 ,39.91727245061241,-75.15638557606778
923904734,1,2536 S 5TH ST,147500.0,1,2,2,35953.0,23747.0,1140,1140,RSA5 ,39.91673765545562,-75.15650201281714
923904734,1,2538 S 5TH ST,147500.0,1,2,2,123753.0,23747.0,1140,1140,RSA5 ,39.916699302623684,-75.15651025568194
923904734,1,2510 S 5TH ST,147500.0,1,2,2,35953.0,23747.0,1140,1140,RSA5 ,39.91723379586522,-75.1563937755856
923904734,1,2506 S 5TH ST,153100.0,1,2,2,128450.0,24650.0,1200,1200,RSA5 ,39.9173127292222,-75.15637686876481
923904734,1,2512 S 5TH ST,147500.0,1,2,2,35953.0,23747.0,1140,1140,RSA5 ,39.9171963235997,-75.15640238867327
923904734,1,2542 S 5TH ST,147500.0,1,2,2,78753.0,23747.0,1248,1248,RSA5 ,39.91662197317497,-75.15652752576162
923904734,1,2540 S 5TH ST,147500.0,1,2,2,35953.0,23747.0,1140,1140,RSA5 ,39.916660675033214,-75.15651846104423
923904734,1,2514 S 5TH ST,147500.0,1,2,2,78753.0,23747.0,1140,1140,RSA5 ,39.917158281762774,-75.1564103588454
923904734,1,2518 S 5TH ST,147500.0,1,2,2,78753.0,23747.0,1140,1140,RSA5 ,39.91708178985949,-75.15642709287539
923904734,1,2516 S 5TH ST,147500.0,1,2,2,123753.0,23747.0,1140,1140,RSA5 ,39.91711986934179,-75.15641839697297
923904734,1,2502 S 5TH ST,153100.0,1,2,2,128450.0,24650.0,1200,1200,RSA5 ,39.91739450231632,-75.15635863544848
923904734,1,2534 S 5TH ST,147500.0,1,2,2,78753.0,23747.0,1140,1140,RSA5 ,39.916776183538936,-75.15649390952309
923904734,1,2520 S 5TH ST,147500.0,1,2,2,123753.0,23747.0,1140,1140,RSA5 ,39.91704326751665,-75.15643556929697
923904734,1,2522 S 5TH ST,147500.0,1,2,2,78753.0,23747.0,1140,1140,RSA5 ,39.91700500972183,-75.15644367170538
923904734,1,2532 S 5TH ST,147500.0,1,2,2,35953.0,23747.0,1140,1140,RSA5 ,39.916814077311024,-75.15648524886531
923904734,1,2524 S 5TH ST,147500.0,1,2,2,35353.0,23747.0,1140,1140,RSA5 ,39.9169665836972,-75.15645238313995
923904734,3,2500 S 5TH ST,169100.0,1,2,2,135280.0,33820.0,1440,1440,CMX1 ,39.917437140414975,-75.15634947769078
923904734,1,2526 S 5TH ST,101600.0,1,2,2,41707.0,17993.0,1140,1140,RSA5 ,39.91692807800533,-75.1564609185742
923904734,1,2530 S 5TH ST,147500.0,1,2,2,35353.0,23747.0,1140,1140,RSA5 ,39.91685198310881,-75.15647735885379
923904734,1,2528 S 5TH ST,101600.0,1,2,2,38607.0,17993.0,1140,1140,RSA5 ,39.91689010015856,-75.15646896931987
923904734,1,2504 S 5TH ST,153100.0,1,2,2,128450.0,24650.0,1200,1200,RSA5 ,39.91735343961831,-75.15636757278091
923904733,3,2529 S 5TH ST,178000.0,1,2,2,142400.0,35600.0,1440,1440,RSA5 ,39.91683397989488,-75.15607946722551
923904732,1,438 VOLLMER ST,209300.0,1,2,2,50302.0,33698.0,1534,1534,RSA5 ,39.91656545809826,-75.15587038611571
923904732,1,440 VOLLMER ST,216400.0,1,2,2,49159.0,34841.0,1529,1529,RSA5 ,39.91657479499575,-75.1559209454325
923904732,1,442 VOLLMER ST,216600.0,1,2,2,136726.0,34874.0,1534,1534,RSA5 ,39.9165816576476,-75.15597222050953
923904731,2,2537 S 5TH ST,225100.0,1,2,2,188859.0,36241.0,1620,1620,RSA5 ,39.91666517074477,-75.15611034989934
923904730,1,2541 S 5TH ST,165100.0,1,2,2,138518.0,26582.0,1272,1272,RSA5 ,39.91658301136874,-75.15612795566072
923904730,1,2549 S 5TH ST,157500.0,1,2,2,34343.0,25357.0,1272,1272,RSA5 ,39.916419166036704,-75.15616286582318
923904730,1,2551 S 5TH ST,225700.0,1,2,2,146179.0,34521.0,1260,1260,RSA5 ,39.91637876095334,-75.15617179677707
